"","name","group","type","category","valuetype","default","min","max","Dislich2018"
"74","c_lut-1-dead","parameter","global","carbon_ncinv","numeric","4.52",4.068,4.972,NA
"75","ecol_interval","parameter","global","ecological","numeric","1",NA,NA,NA
"76","biodiv_ncinv","parameter","global","biodiversity","string","""habitatquality""",NA,NA,NA
"77","ncinv_experiment","parameter","global","biodiversity","string","""exp1""",NA,NA,NA
"78","ncinv_test","parameter","global","biodiversity","string","""test1""",NA,NA,NA
"79","biodiv_ncinv_k","parameter","global","biodiversity","numeric","0.05",NA,NA,NA
"80","hq_lut-0-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA
"81","hq_lut-1-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA
"82","hq_immature-lut-0-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA
"83","hq_immature-lut-1-max-dist","parameter","global","biodiversity","numeric","0.25",0,0.5,NA
"84","hq_lut-0-weight","parameter","global","biodiversity","numeric","0.89",0.801,0.979,NA
"85","hq_lut-1-weight","parameter","global","biodiversity","numeric","0.56",0.504,0.616,NA
"86","hq_immature-lut-0-weight","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"87","hq_immature-lut-1-weight","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"88","hq_lut-0-1-sens-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"89","hq_lut-0-1-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA
"90","hq_lut-0-1-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"91","hq_lut-0-1-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"92","hq_lut-0-2-sens-lut-0","parameter","global","biodiversity","numeric","0.8",0.792,0.808,NA
"93","hq_lut-0-2-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA
"94","hq_lut-0-2-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"95","hq_lut-0-2-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"96","hq_lut-0-3-sens-lut-0","parameter","global","biodiversity","numeric","0.6",0.594,0.606,NA
"97","hq_lut-0-3-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA
"98","hq_lut-0-3-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"99","hq_lut-0-3-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"100","hq_lut-0-4-sens-lut-0","parameter","global","biodiversity","numeric","0.4",0.396,0.404,NA
"101","hq_lut-0-4-sens-lut-1","parameter","global","biodiversity","numeric","0",NA,0.1,NA
"102","hq_lut-0-4-sens-immature-lut-0","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"103","hq_lut-0-4-sens-immature-lut-1","parameter","global","biodiversity","numeric","1",0.9,NA,NA
"104","hq_lut-0-5-sens-lut-0","parameter","global","biodiversity","numeric","0.2",0.198,0.202,NA
