"","name","group","type","category","valuetype","default","min","max","Dislich2018"
"329","h_revenue","variable","turtles","production","numeric",NA,NA,NA,NA
"330","h_production","variable","turtles","production","numeric",NA,NA,NA,NA
"331","h_inefficiencies","variable","turtles","inefficiency","list",NA,NA,NA,NA
"332","h_management","variable","turtles","management","list",NA,NA,NA,NA
"333","h_land-use-change","variable","turtles","production","list",NA,NA,NA,NA
"334","h_connected_hhs","variable","turtles","inefficiency","agentset",NA,NA,NA,NA
"335","b1","parameter","global","new_slider","numeric","5",4.5,5.5,NA
"336","b2","parameter","global","new_slider","numeric","7",6.3,7.7,NA
"337","b3","parameter","global","new_slider","numeric","25",22.5,27.5,NA
"338","m1","parameter","global","new_slider","numeric","100",90,110,NA
"339","m2","parameter","global","new_slider","numeric","-80",-72,-88,NA
"340","m3","parameter","global","new_slider","numeric","-0.8",-0.72,-0.88,NA
"341","n1","parameter","global","new_slider","numeric","-230",-207,-253,NA
"342","n2","parameter","global","new_slider","numeric","690",621,759,NA
"343","n3","parameter","global","new_slider","numeric","115",103.5,126.5,NA
"344","plateau_labor","parameter","global","new_slider","numeric","1400",1260,1540,NA
"345","b_labor","parameter","global","new_slider","numeric","700",630,770,NA
"346","m_lut-0","parameter","global","new_slider","numeric","740",666,814,NA
"347","m_lut-1","parameter","global","new_slider","numeric","150",135,165,NA
"348","quadratic_term","parameter","global","new_slider","numeric","-0.007",-0.0063,-0.0077,NA
"349","linear_term","parameter","global","new_slider","numeric","0.3",0.27,0.33,NA
"350","constant","parameter","global","new_slider","numeric","2.5",2.25,2.75,NA
"351","intercept","parameter","global","new_slider","numeric","46",41.4,50.6,NA
"352","slope","parameter","global","new_slider","numeric","-0.6",-0.54,-0.66,NA
"353","plateau_yield","parameter","global","new_slider","numeric","40",36,44,NA
"354","expo","parameter","global","new_slider","numeric","0.7",0.63,0.77,NA
"355","scal","parameter","global","new_slider","numeric","0.3",0.27,0.33,NA
